kanji	on	kun	en	bg
尌	しゅ ちゅ じゅう	た.てる た.つ わらわ しもべ	Standing (something) Up	изправям | поставям изправено
對	たい つい	あいて こた.える そろ.い つれあ.い なら.ぶ むか.う	Correct | Right | Facing | Opposed	правилен | вярен | срещуположен
尒	じ に	しかり わける なんじ ちかい	You | Your	ти | твой
尓	じ に	なんじ しかり その のみ	You | That	ти | онзи
尗	しゅく	まめ	Younger Of Brothers | Father's Younger Brother | Younger Brother Of A Husband	по-малък брат | чичо (по-малкия брат на бащата) | девер
尞	りょう	かがりび	Fuel Used For Sacrifices	гориво за жертвоприношения
尟	せん	すくな.い	Surname | Fresh	фамилно име | свеж
尠	せん せう	すくな.い	At Least | Not A Little	поне | не малко
尢	おう		Crooked-big Radical (no. 43)	радикал "крив-голям"
尣	おう	まげあし	Lame	куц
尤	ゆう	もっと.も とが.める	Reasonable | Just | Natural | Superb | Outstanding | Plausible	разумен | естествен | изключителен | правдоподобен
尨	ぼう	むくいぬ	Shaggy Hair Or Dog	рошав | рошаво куче
尩	おう	あしなえ ま.がる よわ.い	Weak | Rickety Person | Emaciated	слаб | крехък | изтощен
尫	おう	あしなえ ま.がる よわ.い	Lame	куц
尬	かい かつ けち	あしなえ	Limp | Staggering Gait | Embarrass	куцам | залитаща походка | притеснявам
尰	しょう じゅ しゅう		Swell	подувам се
尲	かん けん		Limp | Be Embarrassed	куцам | притеснен
尶	かん けん		Embarrassed | Ill At Ease	притеснен | неловко
尸	し	かたしろ	Corpse | Remains | Flag Radical (no. 44)	труп | останки
屁	ひ	へ おなら	Fart | Passing Gas	пръдня | изпускане на газове
屆	かい	とど.ける とど.く	Reach | Arrive | Report | Notify | Forward	достигам | пристигам | докладвам | уведомявам
屍	し	しかばね	Corpse	труп
屎	し き	くそ	Shit | Excrement	лайно | изпражнение
屐	げき けき	はきもの	Clog	налъм | дървена обувка
屑	せつ	くず いさぎよ.い	Rubbish | Junk | Trash | Waste | Scraps	боклук | отпадъци | остатъци
屓	き		Exerting Strength	напрягам сила
屙	あ		To Ease Nature	облекчавам се | ходя по нужда
屚	ろう ろ	も.る も.れる も.らす	Leak | Escape | Time	тека | изтичам | време
屜	てい たい	くつしき しきわら	Drawer | Tray | Pad | Screen	чекмедже | поднос | подложка
屠	と ちょ	ほふ.る	Slaughter | Butcher | Slay	клане | колач | заколвам
屡	る	しばしば	Often | Frequently	често | нерядко
屢	る	しばしば	Frequently | Often | Again & Again	често | отново и отново
屣	し	ぞうり	Straw Sandals Or Slippers That Have No Heel-backs	сламени сандали без пета
屧	てい たい しょう	しきわら くつしき	Wooden Shoes | Clogs	дървени обувки | налъми
屨	く	くつ	Straw Sandals | Tread On	сламени сандали | стъпвам върху
屩	きゃく かく きく こく きょう	いとぐつ くつしき しきわら	Straw Sandals	сламени сандали
屬	ぞく しょく	さかん つく やから	Genus | Subordinate Official | Belong | Affiliated	род (биол.) | подчинен | принадлежа | свързан
屭	き	さかん きび.しい	Gigantic Strength | Hercules	огромна сила | Херкулес
屮	てつ さ	ひだりて	Left Hand | Old Grass Radical (no. 45)	лява ръка | стар радикал "трева"
屰	げき ぎゃく はく ひゃく	さか.らう	Disobedient	непокорен
屴	りょく りき	そび.える	Lofty	висок | извисен
屶		なた たな	Used In Proper Names | (kokuji)	използва се в собствени имена
屹	きつ	そばだ.つ	Towering Mountains	извисяващи се планини
屺	き		Hill With Trees Or Grass (some Give The Opposite Meaning)	хълм с дървета или трева
屼	ごち ぐつ ぐち こつ		Mountain | Bare Hill	планина | гол хълм
岊	せつ せち ぐ		Foothill	подножие на планина
岌	きゅう	たか.い	High | Dangerous	висок | опасен
岑	しん ぎん	みね	Peak | Mountaintop	връх | планински връх
岔	た		Fork In A Road	разклонение на път
岝	さく しゃく		Name Of Mountain In Shandong	име на планина в Шандун?
岣	こう く	いただ.き	Hill In Hunan	хълм в Хунан?
岧	てう でう		Peak | Cliff | Precipice	връх | скала | пропаст
岨	そ しょ	いしやま そば	A Rocky Mountain	скалиста планина
岫	こう しゅう ゆう	みさき くき みね	Gorge | Ravine | In The Mountains | Cape | Promontory	клисура | дефиле | нос (геогр.)
岭	れい		Mountain Ridge | Mountain Peak	планински хребет | връх
岱	たい		Old Name For A Chinese Mountain | Taishan	старо име на китайска планина (Тайшан)?
岵	こ	やま	Hill	хълм
岶	はく		Dense Mountain Vegetation	гъста планинска растителност
岷	びん みん		Name Of A Chinese River | Name Of A Chinese Mountain	име на китайска река? | име на китайска планина?
岺	れい		Mountain Ridge | Mountain Peak	планински хребет | връх
岻	じ に		Name Of A Mountain	име на планина?
岼		ゆり	Level Spot Part-way Up A Mountain | (kokuji)	равно място по средата на планина
岾		やま はけ	Mountain	планина
峅		くら	Shrine In The Mountains | (kokuji)	светилище в планината
峇	こう		Mountain Cave	планинска пещера
峋	しゅん		Ranges Of Hills Stretching On Beyond Another Irregular Peaks	верига от неравни хълмове
峒	とう ず		Mountain In Gansu Province	планина в Гансу?
峝	とう ず	えびす	Mountain In Gansu Province	планина в Гансу?
峩	が	けわ.しい	Lofty	висок | извисен
峪	よく	たに	Ravine	дере | клисура
峭	しょう	きび.しい けわ.しい	High & Steep	висок и стръмен
峱	どう のう		Name Of A Mountain	име на планина?
峴	けん	けわ.しい	Steep Hill | Mountain In Hubei	стръмен хълм | планина в Хубей?
峺	こ		Obstruct	преча | препятствам
峽	きょう こう	はざま	Gorge | Strait | Ravine | Isthmus	клисура | пролив | провлак
崁	かん	くぼみ	Place In Taiwan	място в Тайван?
崆	こう く		Kongtong Mountain	планината Кунтун?
崋	か く		Name Of Mountain	име на планина?
崍	らい		Mountain In Sichuan Province	планина в Съчуан?
崐	こん		Kunlun Mountains In Jiangsu	планините Кунлун?
崑	こん		Place Name	име на място?
崒	しゅつ しゅち そつ ぞち すい	けわ.しい	Rocky Peaks | Lofty And Dangerous	скалисти върхове | високи и опасни
崕	がい	がけ	Cliff | Bluff | Precipice	скала | стръмен бряг | пропаст
崗	こう	おか	Hill	хълм
崘	ろん		Kunlun Mountains In Jiangsu	планините Кунлун?
崙	ろん		Place Name	име на място?
崛	くつ	そばだ.つ たか.い	High & Lofty (mountains)	висок и извисен (за планини)
崟	ぎん	みね	Peak | Mountaintop | Steep | Lofty	връх | стръмен | извисен
崠	とう つ		Place Name In Guangxi Province	име на място в Гуанси?
崢	そう		High | Steep	висок | стръмен
崤	こ こう ぎょう		Mountain In Henan	планина в Хънан?
崦	えん		Mountain In Kansu, Where There Is A Cave Into Which The Sun Is Said To Sink At Night	планина в Гансу, свързана с легенда за залеза?
崧	しゅう しゅ すう	そばだ.つ	High Mountain | Lofty | Eminent	висока планина | извисен | изтъкнат
崱	しょく じき		Lofty	висок | стръмен
崴	わい え い		High | Lofty | Precipitous	висок | стръмен | отвесен
崽	さい しゃ し	こども	Child | Servant | Diminutive	дете | слуга | умалително
崿	がく ごう	がけ きし	Cliffs	скали | канари
嵂	りつ りち	けわ.しい	Lofty	висок | стръмен
嵆	けい		Mountain In Henan | Surname	планина в Хънан | фамилно име
嵇	けい げい		Mountain In Henan | Surname	планина в Хънан | фамилно име
嵊	しょう		District In Shaohsing | Chekiang	окръг в Шаосин | Джъдзян
嵋	び		Place Name	топоним
嵌	かん	は.める は.まる あな	Go Into | Plunge | Inlay	вграждам | инкрустирам | вмъквам
嵎	ぐう ぐ	くま	Mountain Recesses	планинска клисура | планинска падина
嵒	がん	いわ けわ.しい	Rock	скала
嵙	か	やましな	Place Name	топоним
嵜	き	さき さい みさき	Steep | Promontory	стръмен | нос (географски)
嵠	けい	たに たにがわ	Valley With A Stream In It | Gorge	долина с поток | клисура
嵬	かい ぎ		High And Flat	висок и плосък връх
嵳	さ		High | Towering | Irregular | Rugged	висок | извисяващ се | неравен | грапав
嵶		たお.やか たわ.む	Mountain Pass	планински проход
嵾	しん さん そん		Uneven	неравен
嶁	る ろう	いただ.き	Goulou Mountain Peak In Hunan	връх Гълоу в Хунан
嶂	しょう	みね	Steep | Lofty	стръмен | висок
嶄	ざん さん		Steep Or High Mountain	стръмна или висока планина
嶇	く	けわ.しい	Steep	стръмен
嶐	りゅ	やまのかたち	Shape Of A Mountain	форма на планина
嶒	しょう ぞう		Towering | Lofty | Steep	извисяващ се | висок | стръмен
嶓	は		Boshan | Mountain In Shaanxi	планина Бошан в Шанси
嶔	きん こん けん かん	けわ.しい	Lofty | Towering	висок | извисяващ се
嶗			Laoshan | Mountain In Shandong	планина Лаошан в Шандун
嶙	りん		Precipitous	стръмен | отвесен
嶝	とう	さかみち	Hill | Uphill Path	хълм | път нагоре
嶠	きょう		High Pointed Mountain	висок остър връх
嶢	ぎょう	けわ.しい	High | Towering	висок | извисяващ се
嶧	えき やく せき しゃく	つら.なる	Range Of Peaks | Name Of Mountain	верига от върхове | име на планина
嶬	ぎ		High | Steep	висок | стръмен
嶮	けん	けわ.しい	Inaccessible Place | Impregnable Position | Steep Place | Sharp Eyes	непристъпно място | стръмно място | остър поглед
嶰	かい け	たに	Gorge	клисура
嶲	けい え き すい	めぐり つばめ	Name Of An Old Town In Sichuan | Cuckoo | Revolution Of A Wheel	старо градче в Съчуан | кукувица | оборот на колело
嶴	おう おく	おく.まる くま	Island	остров
嶷	ぎょく ぎ	さと.い	Wise	мъдър
嶸	こう おう えい よう	けわ.しい	High | Steep | Lofty | Towering	висок | стръмен | извисяващ се
嶼	しょ	しま	Island	остров
巃	ろう る	けわ.しい	Lofty	висок
巇	き	けわ.しい	Crack | Hazardous | Steep	пукнатина | опасен | стръмен
巉	ざん さん		Rising Precipitously | Rising Steeply	стръмно издигащ се
巋	き	つら.なる	Grand | Stately | Secure | Lasting	величествен | стабилен | траен
巍	ぎ	たか.い	High	висок
巒	らん	みね	Small Peak	малък връх
巓	てん	いただき	Summit	връх
巖	がん	いわ いわお けわ.しい	Rock | Crag | Boulder	скала | канара | валун
巘	ごん けん	みね	Summit | Peak	връх
巛	せん	かわ	Curving River Radical (no.47)	радикал "виеща се река" (бр. 47)
巠	けい きょう		Streams Running Underground | Flowing Water	подземни поточета | течаща вода
巢			Nest | Living Quarter In Tree	гнездо | жилище на дърво
巤	りょう	たてがみ もと	Mane | Bristles, As On A Hog | Dorsal Fins	грива | четина | гръбна перка
巩	きょう		Bind | Firm | Secure | Strong	свързвам | здрав | сигурен
巫	ふ	みこ かんなぎ	Sorcerer | Medium | Shrine Maiden	магьосник | медиум | храмова прислужница
巵	し	さかずき	Large Winecup | Apt | Fitting	голяма чаша за вино | подходящ
帀	そう	めぐ.る めぐ.らす	To Go Round | To Make A Circuit | To Make A Revolution | To Turn Round	обикалям | правя кръг
帋	し	かみ	Paper | Stationary | Document	хартия | документ
帑	とう ど	かねぐら	Money Repository	хазна | съкровищница
帒	たい	ふくろ	Bag | Sack | Case | Pocket | Pouch	торба | чувал | джоб
帔	ひ	ふくろ	Skirt | Long Robe For Women, Having No Sleeves And Fasten Down The Front	пола | дълга женска роба без ръкави
帕	ばつ めち は へ はく みゃく みゅく	つつ.む	Turban | Kerchief | Veil | Wrap	тюрбан | кърпа | воал
帘	れん しん よう	さけばた	Flag-sign Of A Tavern	табела на кръчма
帙	ちつ	ふまき	Japanese Book Cover	японска подвързия за книга
帚	そう しゅう	ほうき	Broom	метла
帛	はく	きぬ	Cloth	плат | коприна
帟	えき やく	ひらとばり	Tent	шатра
帨	せい さい えつ えち すい	てふき	Handkerchief | Kerchief | Shawl	кърпа | шал
帮	ほう	たす.ける	Help | Assist | Defend | Shoe Upper	помагам | защитавам
帲	へい ひょう	おお.う	Shelter	подслон
帵	わん えん おん		Remnants | Tailor's Cutting	остатъци | шивашки отрязъци
帶	たい	お.びる おび	Belt | Girdle | Band | Strap | Zone	колан | лента | зона
帷	い	とばり	Curtain | Screen	завеса | паравана
幀	てい ちょう とう		Making Books Or Scrolls	подвързване на книги или свитъци
幃	い き	とばり	Bag	торба
幄	あく	とばり	Curtain	завеса
幇	ほう	たす.ける	Help	помагам
幋	はん	あたまのかざり	Belt	колан
幎	べき	とばり	Cloth Covering	покривало от плат
幔	まん ばん	まく	Curtain	завеса
幗	かく		Woman's Head Covering | Veil	женска забрадка | воал
幘	さく しゃく	ずきん	Turban | Conical Cap	тюрбан | конусовидна шапка
幛	しょう	ぬの	Scroll Of Silk | Cloth Presented	копринен свитък | поднесен плат
幞	ほく	ずきん	Turban	тюрбан
幟	し	のぼり	Flag | Banner | Streamer	знаме | флаг
幢	とう	はた	Flag | Banner	знаме | флаг
幤	へい	ぬさ	Shinto Zigzag Paper Offerings | Bad Habit | Humble Prefix | Gift	хартиени приношения в шинтоизма | дар
幨	せん	とばり ほろ たちき.れる	Curtain	завеса
幪	ぼう む もう	ふくさ	Cover | Shelter | Screen | Protect	покривало | подслон | защита
幫	ほう	たす.ける	Help | Assist | Defend | Shoe Upper	помагам | защитавам
幬	ちゅう じゅ とう	とばり	Cover Up | Curtain	покривало | завеса
幭	べつ めち ばつ まち	おおい	Cover	покривало
幮	ちゅ じゅ ちゅう	とばり かや	Curtain	завеса
幰	けん こん	ほろ	Curtain At Front Of Carriage	завеса на предната част на карета
幵	へい		Put Together	съединявам
并	へい ひょう	あわ.せる なら.ぶ	Put Together	съединявам | обединявам
幷	へい ひょう	あわせる ならぶ	Combine	съединявам | обединявам
幺	よう	ちいさい	Short Thread Radical (no. 52)	радикал "къса нишка" (бр. 52)
广	げん		Dotted Cliff Radical (no. 53)	радикал "надвиснала скала" (бр. 53)
庀	ひ へい はい	おさ.める	To Prepare | To Regulate | To Hand Up	подготвям | уреждам
庇	ひ	ひさし おお.う かば.う	Protect | Shield | Defend | Eaves | Canopy | Penthouse | Visor	закрилям | защитавам | стряха | козирка
庋	き	とだな	Cupboard | Pantry | To Store	шкаф | килер | съхранявам
庖	ほう	くりや	Kitchen	кухня
庚	こう	かのえ	7th | 7th Calendar Sign	седми (циклов знак от календара)
庠	しょう	まなびや	School	училище
庤	ち じ	たくわ.える	Prepare	подготвям
庥	きゅう く	かげ	Shade | Shelter | Protection	сянка | подслон | закрила
庬	ぼう も もう	はっきり.しない	Abundant | Mixed	изобилен | смесен
庳	ひ	ひく.い	Low-built House	ниска къща
庹			The Length Of One's Two Outstretched Arms	разтег на двете разперени ръце (мярка за дължина)
庾	ゆ	くら	Granary | Storehouse	хамбар | склад
廁	し しょく	かわや	Toilet | Lavatory | Mingle With	тоалетна | клозет
廂	しょう そう	ひさし	Eaves | Canopy | Vizor | Hallways	стряха | козирка | коридор
廆	かい え け	かき	Room | The Wall Of A House | Man's Name	стая | стена на къща
廈	か さ	いえ	House	къща | сграда
廋	しゅう しゅ そう す	かく.す	Conceal | Hide | Search For | Seek	скривам | търся
廌	ち		Unicorn	еднорог (митично същество)
廎	けい きょう てい	いえのかたわら	Room	стая
廏	きゅう	うまや	Barn | Stable	обор | конюшня
廐	きゅう	うまや	Barn | Stable	обор | конюшня
廑	きん こん		Hut | Careful	колиба | внимателен
廓	かく	くるわ とりで	Enclosure | Quarter | Red-light District	ограда | квартал | квартал с публични домове
廕	いん おん	おお.う かば.う かげ	Shade | Protect | Cover	сянка | закрилям | покривам
廖	りょう		Empty | Name	празен | фамилно име
廚	しゅう ず ちゅ ちゅう	くりや	Kitchen	кухня
廛	てん	みせ やしき たな	Fine Residence | Shop | Store	хубава резиденция | магазин
廝	し	こもの	Servant	слуга
廞	きん こん かん けん	つら.ねる おこ.す けわ.しい	To Prepare Horses And Chariots For Battle	подготвям коне и колесници за бой
廠	しょう		Workshop	работилница | цех
廡	ぶ	しげ.る ひさし	Walking Under The Eaves	ходене под стряха | коридор
廢	はい	すた.れる すた.る	Abrogate | Terminate | Discard	отменям | прекратявам | изхвърлям
廨	かい け	やくしょ	Government Office	държавна служба | учреждение
廩	りん	くら	Rice Storehouse	хамбар за ориз
廬	ろ りょ	いお いおり いえ	Hermitage	отшелническа колиба | скит
廰	ちょう てい	やくしょ	Government Office	учреждение
廱	よう	やわらぐ	Mild | Congenial | Block | Obstruct	мек | приятен | препятствам
廳	ちょう てい	やくしょ	Hall | Central Room	зала | учреждение
廴	いん		Long Stride Or Stretching Radical (no. 54)	радикал "дълга крачка" (бр. 54)
廸	てき	みち みちび.く すす.む いた.る	Path | Way | Guide | Lead | Proceed | Advance | Reach | Arrive	път | водя | напредвам | пристигам
廹			To Persecute | To Oppress In Difficulties | Embarrassed	преследвам | потискам | притеснен
廻	かい え	まわ.る まわ.す もとお.る めぐ.る めぐ.らす	Round | Game | Revolve | Go Around | Circumference	обикалям | въртя се | кръговрат
廼	ない だい の あい	すなわ.ち なんじ	In Other Words | Thou | You | Possessive Particle	тоест | ти (архаично)
廽	かい え	まわす まわる かえる めぐる	Return | Turn Around | A Time	връщам се | обръщам се
廾	きょう く	にじゅう	Twenty | Twenty Or Letter H Radical (no. 55)	двадесет | радикал (бр. 55)
廿	じゅう にゅう	にじゅう	Twenty	двадесет
开			Open | Initiate | Begin | Start	отварям | започвам
异	い	あ.げる	Different | Unusual | Strange	различен | необичаен | странен
弃	き	すて.る	Reject | Abandon | Discard	отхвърлям | изоставям
弇	えん かん こん だん なん	おお.う	Cover Over | Hide | Narrow-necked	покривам | скривам | тесногърл
弈	えき やく		Chinese Chess	китайски шах
弉	じょう そう	さかん	Large | Powerful | Stout | Thick	голям | мощен | як
弋	よく	いぐるみ	Piling | Ceremony Radical (no. 56)	кол | радикал (бр. 56)
弌	いち いつ	ひと- ひと.つ	One	едно (старинна форма)
弍	に じ	ふた- ふた.つ ふたた.び	Two	две (старинна форма)
弎	さん ぞう	み み.つ みっ.つ	Three	три (старинна форма)
弑	し しい	しい.する	Murder One's Lord Or Father	убивам своя господар или баща
弖	て		Phoneme Only | (kokuji)	само звук (японски знак, без значение)
弗	ふつ ほち	どる ず	Dollar	долар
弝	は へ	ゆづか つか	The Part Of A Bow Grasped When Shooting	дръжка на лък
弢	とう	ゆみぶくろ	Bow Case | Scabbard | Sheathe	калъф за лък | ножница
弣	ふ	ゆづか	Middle	средна част (на лък)
弤	てい たい ちゅう		Bow	лък
弨	しょう	そりかえ.る	Bow	лък
弩	ど	おおゆみ いしゆみ	Bow (arrow)	арбалет
弭	び み	や.める や.む ゆはず	Stop | Cease | Notches Where Drawstring Is Attached To The Bow	спирам | прекратявам | накрайник на лък
弮	けん	いしゆみ ま.がる まき	Cross-bow Which Discharged Several Bolts In Succession	многозаряден арбалет
弯	わん	ひ.く	Curve | Stretching A Bow	извивка | изкривявам
弰	そう しょう	ゆはず	Ends Of Bow	краища на лък
弴	とん ちょう		Red Lacquer Bow	лък от червен лак
弸	ほう		Strong Bow | Full	як лък | пълен
弼	ひつ	たす.ける ゆだめ	Help	помагам
弽	しょう よう きょう	ゆがけ	Archer's Glove	ръкавица на стрелец
彀	こう く		Enough | Adequate Fully | Quite	достатъчен | напълно
彁	か せい		(no Known Meaning; S&h Uses Jabberwocky Words)	без установено значение (измислена дума)
彄	こう く	ゆはず ゆがけ	Nock At End Of Bow | Stretch	прорез в края на лък | опъвам
彈	だん たん	ひ.く はず.む たま はじ.く はじ.ける ただ.す	Bullet | Twang | Flip | Snap	куршум | дърпам (тетива) | щраквам
彊	きょう ごう	つよ.い	Strong	силен
彌	み び	いや や あまねし いよいよ とおい ひさし ひさ.しい わた.る	Extensive | Full | Fill | Complete	обширен | пълен | изпълвам
彍	かく	は.る はし.る	To Draw A Bow To The Full	опъвам лък докрай
彎	わん	ひ.く	Curve | Stretching A Bow	извивка | изкривявам
彐	けい		Snout | Pig's Head Radical (no. 58)	зурла | радикал "свинска глава" (бр. 58)
彑	けい		Pig's Head Radical Variant (no. 58)	вариант на радикала "свинска глава" (бр. 58)
彔	ろく	きざ.む	To Carve Wood	дълбая дърво
彖	たん		Divination	гадаене
彘	てい えい え	ぶた	Swine	свиня
彛	い	つね	Yi | Tripod | Wine Vessel | Rule	триножник | съд за вино | правило
彜	い	つね	Moral Principle	морален принцип
彝	い	つね	Moral Principle	морален принцип
彡	さん せん		Three | Hair Ornament | Short Hair Or Fur Radical (no. 59)	украшение за коса | радикал "косъм" (бр. 59)
彤	とう ず	あか.い	Red | Vermilion | Name Of Ancient	червен | аленочервен
彧	いく	あや	Refined | Cultured | Polished	изискан | културен | изтънчен
彲	ち	みずち	Yellow Dragon	жълт дракон
彳	てき	たたず.む	Stop | Linger | Loiter | Going Man Radical (no. 60)	бавя се | скитам | радикал (бр. 60)
彴	はく しゃく ちゃく てき	まるきばし	Bridge	мост от трупи
彷	ほう	さまよ.う	Stray | Wander | Loiter	скитам се | бродя
彸	しょう しゅ		Restless | Agitated	неспокоен | развълнуван
彽	ち じ てい たい で	たちもとほ.る	Low | Humble	нисък | скромен
彿	ふつ		Dimly	смътно | неясно
徂	そ	ゆ.く	Go	отивам
徃	おう	い.く いにしえ さき.に ゆ.く	Journey | Chase Away | Let Go | Going | Travel	пътувам | отивам
徇	じゅん しゅん	あまねし したが.う とな.える	Herald | Announce | Follow | Obey | Seek | Lay Down One's Life	оповестявам | следвам | подчинявам се
很	こん こう ぎん	もと.る	Disobey | Dispute | Very | Go Against | Be Contrary To	противопоставям се | много
徉	よう	さまよ.う	Wonder | Rove | Stray | Hesitating	скитам се | колебая се
徊	かい くわい え	さまよ.う	Wandering	скитане | бродене
徑	けい	みち こみち さしわたし ただちに	Path | Diameter | Method	пътека | диаметър | метод
徙	し	うつ.る うつ.す	Move	премествам се
徜	しょう	さまよ.う	Walking And Fro | Lingering | Wander	скитам се | бавя се
從	じゅう しょう じゅ	したが.う したが.える より	From | By | Since | Whence | Through	следвам | от
徠	らい	きた.す きた.る く.る	Induce | Encourage To Come	привличам | подканвам да дойде
徧	へん	あまね.し あまね.く	Everywhere | All Over | All Around | Revolve	навсякъде | из целия
徨	こう	さまよ.う	Wandering	скитане
徬	ほう	つきそ.う	Wander About | Walk Along Side Of	скитам се | вървя редом
徭	よう えう	えだち ふぞろ.い つかい	Compulsory Service To The State | Corvee	трудова повинност | ангария
徯	けい	こみち も.つ	Wait For | Await | Expect | Hope	чакам | очаквам | надявам се
徵	ちょう ち	しるし めす	Summon | Recruit | Musical Note	призовавам | набирам | музикална нота
德	とく	おしえ	Ethics | Morality | Virtue	добродетел | морал
徼	きょう よう	めぐ.る	Seek | Enquire | Go Around | Border	търся | разпитвам | граница
徽	き	しるし	Good | Beautiful | Badge	знак | значка | отличие
忄	しん	こころ	Heart | Standing Heart Radical Variant (no. 61)	сърце | радикал (бр. 61)
忇	ろく	こうろうがおおきい おも.う	Great Achievement	голямо постижение
忉	とう	うれ.える	Grieved | Distressed In Mind	скърбящ | тревожен
忋	かい	たの.む あお.ぐ	To Rely On | Look Up To	разчитам на | уважавам
忐	くん こう きょう たん	むな.しい	Timorous | Nervous	плах | нервен
忑	とく とう	むな.しい	Fearful | Nervous | Timid	страхлив | нервен
忒	とく	か.わる	Excessive | Too | Very-usually Of Objectionable Things | To Err | To Mistake | Changeable	прекомерен | сгрешавам | променлив
忓	かん	きわ.める おか.す	Concerned About	загрижен за
忔	きつ ぎつ こち こつ き	よろこ.ぶ	To Be Delighted | To Dislike | To Have No Need For	радвам се | не харесвам
忖	そん	はか.る	Conjecture	предполагам | досещам се
忝	てん	かたじけな.い	Grateful | Indebted	благодарен | задължен
忞	びん みん ぶん もん	つと.める	Exert Oneself | Restless | Unaware Of One's Feelings	напрягам се | неспокоен
忡	ちゅう ちゅ しゅう しゅ	うれ.える	Ill At Ease | Distressed	обезпокоен | разтревожен
忢	ご	さと.る	Enlightenment | Perceive | Discern | Realize | Understand	просветление | осъзнавам
忤	ご	さから.う もと.る	Insubordinate | Stubborn | Wrong	непокорен | упорит
忩	そう	にわか あわ.てる	Rush | Hurry | Be Flustered	бързам | суетя се
忪	しょう しゅ	おどろ.く	Quiet | Calm | Tranquil | Peaceful	тих | спокоен
忭	へん	たの.しむ	Delighted | Pleased	радостен | доволен
忮	し き	さか.らう	Stubborn | Perverse | Aggressive	упорит | злонамерен | агресивен
忯	き し	つつし.む	To Be Fond Of | To Love | To Be Respectful Of	обичам | уважавам
忰	すい	せがれ やつ.れる	Suffer | Become Emaciated | Haggard	страдам | изнемощявам
忱	しん	まこと	Sincere	искрен
忲	たい	なら.う	Extravagant	разточителен
忳	とん しゅん	うれ.える	Anguish | Grieve | Ignorant | Foolish	мъка | скръб
忸	じく じゅう	はじ.る	Shame	срам
忻	きん	よろこ.ぶ	Rejoice | Open One's Heart	радвам се | разкривам сърцето си
忼	こう ほう ひょう	なげ.く あなど.る	Weep | Grieve	плача | скърбя
忽	こつ	たちま.ち ゆるが.せ	In A Moment | Instantly | All Of A Sudden | Neglect | Disregard	изведнъж | мигновено | пренебрегвам
忿	ふん	いか.る いかり	Be Angry	гневя се
怊	ちょう しょう	かな.しむ いた.む	Grieve | Sorrowful	скърбя | тъжен
怍	さく さ じゃ	はじ.る	To Be Ashamed	засрамен съм
怎	しん そ	いかで なんぞ	Why | How	защо | как
怏	おう よう	うら.む	Dissatisfaction | Grudge	недоволство | обида
怐	く		Foolish | Fear	глупав | страх
怔	せい しょう	おそれあわ.てる	Disease Resembling Neurosis	болест, подобна на невроза
怕	はく ひゃく は	かしわ おそ.れる	Oak	дъб | страхувам се
怗	ちょう てん せん	おだ.やか したが.う	Observant | Peaceful | Submissive	наблюдателен | спокоен | покорен
怘	こ く	かた.める かたく	Protect | Safeguard	закрилям | пазя
怙	こ	たの.む	Depend | Rely On | Father	разчитам на | баща
怚	しょ そ	おご.る	Dull | Stupid | Suspicious	тъп | глупав | подозрителен
怛	だつ たん たつ	いた.む	Be Sad | Be Dejected | Fear	тъжен | унил | страх
怡	い	よろこ.ぶ	Rejoice | Enjoy	радвам се | наслаждавам се
怤	ふ	おも.う よろこ.ぶ	Think | Look Forward To	мисля | очаквам с нетърпение
怦	ほう ひょう		In A Hurry | Excited | Agitated	развълнуван | притеснен
怩	じ		Shame	срам
怫	ふつ はい ひ		Anger	гняв
怭	ひつ びち	あなど.る	Rude	груб | невъзпитан
怯	きょう こう	ひる.む おびえ.る おじる おび.える おそ.れる	Cowardice | Wince | Flinch | Hesitate | Waver	страхливост | боязлив
怱	そう	にわか あわ.てる	Rush | Hurry | Be Flustered	бързам | суетя се
怳	きょう ちゅつ しゅつ	くる.う	Wild | Mad | Flurried	луд | буен
怵	ちゅつ しゅつ しゅち	おそ.れる	Fear | Be Afraid | Shy | Timid	страх | плах
怺		こら.える	Endure | (kokuji)	търпя | издържам
恁	いん じん にん		Like This | Thus	така | по този начин
恂	じゅん しゅん	まこと	Sincere | Fear | Sudden | Blinking	искрен | внезапен
恃	じ し	たの.む	Depend On	разчитам на
恆	こう	つね.に	Constant | Regular | Persistent	постоянен | устойчив
恇	きょう こう	つね	Fear	страх
恉	し	こころ	Meaning | Purport | Drift	смисъл | значение
恊	きょう	あわ.せる かな.う	Threaten	заплашвам
恌	ちょう よう	うす.い	To Worry | Frivolous	тревожа се | лекомислен
恍	こう	とぼ.ける ほ.れる	Unclear | Senile | Stupid | Joke	унесен | замаян | изкуфял
恑	き	か.わる あや.しむ	To Change | To Alter | To Accommodate Oneself To	променям се | приспособявам се
恔	きょう こう	さとい	Cheerful | Bright | Sagacious	весел | бодър | съобразителен
恙	よう	つつが.ない	Illness	болест | недомогване
恚	い	いか.る	Anger	гняв
恝	かい かつ けち		Carefree | Indifferent Manner	безгрижен | безразличен
恟	きょう	おそ.れる	Fear	страх
恠	かい け	あや.しい あや.しむ	Suspicious | Mystery | Apparition	подозрителен | мистериозен | призрак
恡	りん	ねた.む やぶさか お.しむ	Stingy | Sparing Of | Close-fisted	стиснат | скъперник
恢	かい け	ひろ.い	Wide | Large | Enlarge	широк | обширен | разширявам
